employee_id,first_name,middle_initial,last_name,birth_date,gender,city_id,hire_date
1,Nicole,T,Fuller,1981-03-07,F,80,2011-06-20 07:15:36.9200000
2,Christine,W,Palmer,1968-01-25,F,4,2011-04-27 04:07:56.9300000
3,Pablo,Y,Cline,1963-02-09,M,70,2012-03-30 18:55:23.2700000
4,Darnell,O,Nielsen,1989-02-06,M,39,2014-03-06 06:55:02.7800000
5,Desiree,L,Stuart,1963-05-03,F,23,2014-11-16 22:59:54.7200000
6,Holly,E,Collins,1987-01-13,M,65,2013-06-22 13:20:18.0800000
7,Chadwick,P,Cook,1970-05-02,M,39,2016-07-10 06:22:00.6700000
8,Julie,E,Dyer,1956-12-13,M,18,2014-10-14 23:12:53.4200000
9,Daphne,X,King,1956-05-02,F,39,2013-04-17 14:48:02.7000000
10,Jean,P,Vang,1963-12-30,M,9,2012-07-23 15:02:12.6400000
11,Sonya,E,Dickson,1976-01-14,F,12,2016-08-10 15:59:30.3600000
12,Lindsay,M,Chen,1951-09-03,F,58,2011-11-03 00:44:25.3900000
13,Katina,Y,Marks,1963-04-18,M,68,2011-12-12 10:43:52.9400000
14,Wendi,G,Buckley,1961-09-05,M,32,2016-07-11 00:57:58.3400000
15,Kari,D,Finley,1972-02-17,M,92,2014-07-13 06:50:11.7900000
16,Chadwick,U,Walton,1951-07-07,M,28,2017-02-10 11:21:26.6500000
17,Seth,D,Franco,1989-08-29,M,80,2010-07-11 09:23:03.4900000
18,Warren,C,Bartlett,1964-03-09,M,58,2010-02-22 21:55:48.6200000
19,Bernard,L,Moody,1970-03-22,M,54,2013-11-12 19:25:04.3900000
20,Shelby,P,Riddle,1964-06-13,M,14,2013-03-24 08:36:50.0200000
21,Devon,D,Brewer,1966-04-25,M,65,2016-01-24 02:13:24.3400000
22,Tonia,O,Mc Millan,1952-03-02,F,53,2015-11-25 18:18:23.4800000
23,Janet,K,Flowers,1979-03-01,F,7,2010-05-12 02:52:30.3700000
